FAMI_TIENECOMPUTADOR,ESTU_GENERO,FAMI_TIENESERVICIOTV,FAMI_TIENEINTERNET,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENELAVADORA,FAMI_TIENEAUTOMOVIL,COLE_NATURALEZA,COLE_GENERO,COLE_CALENDARIO,FAMI_ESTRATOVIVIENDA,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_PERSONASHOGAR,EDAD,LAT_COLE,LON_COLE,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_SOCIALES_CIUDADANAS,PUNT_C_NATURALES,PUNT_INGLES
NO,F,NO,NO,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",1 A 4,16.0,1.21158423406,-77.2901565439,58.0,57.0,57.0,63.0,55.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,5 O MÁS,17.0,1.21158423406,-77.2901565439,58.0,59.0,70.0,69.0,52.0
SI,M,NO,SI,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,17.0,1.21158423406,-77.2901565439,54.0,61.0,58.0,61.0,58.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21158423406,-77.2901565439,61.0,61.0,53.0,64.0,55.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,16.0,1.21158423406,-77.2901565439,54.0,72.0,59.0,51.0,58.0
SI,M,NO,SI,NO,SI,SI,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21158423406,-77.2901565439,58.0,56.0,57.0,60.0,64.0
SI,M,NO,SI,NO,NO,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21158423406,-77.2901565439,63.0,66.0,75.0,69.0,50.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21158423406,-77.2901565439,72.0,75.0,66.0,66.0,68.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,5 O MÁS,16.0,1.21158423406,-77.2901565439,61.0,52.0,59.0,46.0,59.0
SI,M,NO,SI,NO,NO,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,17.0,1.21158423406,-77.2901565439,51.0,61.0,56.0,68.0,66.0
SI,M,SI,SI,NO,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,16.0,1.21158423406,-77.2901565439,60.0,59.0,53.0,62.0,53.0
SI,M,SI,SI,NO,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21158423406,-77.2901565439,57.0,60.0,59.0,63.0,50.0
SI,M,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,16.0,1.21158423406,-77.2901565439,54.0,66.0,67.0,62.0,56.0
SI,F,SI,SI,SI,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21158423406,-77.2901565439,60.0,75.0,67.0,74.0,64.0
SI,M,SI,SI,NO,SI,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",1 A 4,16.0,1.21158423406,-77.2901565439,60.0,64.0,61.0,62.0,48.0
SI,M,SI,SI,SI,SI,SI,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21158423406,-77.2901565439,63.0,69.0,51.0,67.0,58.0
NO,F,SI,SI,NO,NO,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21158423406,-77.2901565439,60.0,58.0,55.0,58.0,54.0
SI,M,NO,SI,SI,NO,NO,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,"NO SABE, NINGUNA O HASTA PRIMARIA INCOMPLETA O COMPLETA",SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,16.0,1.21158423406,-77.2901565439,51.0,62.0,61.0,60.0,47.0
SI,M,SI,SI,NO,SI,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,16.0,1.21158423406,-77.2901565439,60.0,69.0,65.0,68.0,59.0
NO,M,NO,NO,NO,NO,NO,OFICIAL,MIXTO,A,SIN ESTRATO O ESTRATO 1,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,1 A 4,17.0,1.21158423406,-77.2901565439,61.0,61.0,64.0,65.0,52.0
SI,M,SI,SI,SI,SI,SI,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,SECUNDARIA (BACHILLERATO) INCOMPLETA O COMPLETA,5 O MÁS,18.0,1.21158423406,-77.2901565439,54.0,61.0,61.0,58.0,53.0
SI,M,SI,SI,NO,SI,SI,OFICIAL,MIXTO,A,ESTRATO 2 O SUPERIOR,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,TÉCNICA O TECNOLÓGICA INCOMPLETA O HASTA POSTGRADO,1 A 4,16.0,1.21158423406,-77.2901565439,79.0,87.0,72.0,77.0,93.0
